date,temp_max,temp_min,precipitation,rain,weather_code
2019-04-13,10.8,1.7,0.0,0.0,3
2019-04-14,6.6,1.2,17.7,1.7,75
2019-04-15,10.4,-1.2,1.8,0.3,73
2019-04-16,22.8,6.3,0.0,0.0,3
2019-04-17,20.3,5.7,1.3,1.3,55
2019-04-18,20.4,9.2,9.7,9.7,61
2019-04-19,6.6,4.1,0.9,0.9,51
2019-04-20,12.1,3.8,0.0,0.0,0
2019-04-21,21.1,2.2,0.0,0.0,3
2019-04-22,23.0,10.2,0.2,0.2,51
2019-04-23,19.6,8.1,0.2,0.2,51
2019-04-24,14.1,4.2,0.0,0.0,3
2019-04-25,14.4,7.6,0.2,0.2,51
2019-04-26,16.5,8.9,2.5,2.5,55
2019-04-27,13.9,0.9,13.8,0.9,75
2019-04-28,4.8,1.1,6.6,0.6,75
2019-04-29,12.1,4.8,15.8,15.8,63
2019-04-30,9.8,4.8,9.0,9.0,61
2019-05-01,18.9,6.3,45.2,45.2,63
2019-05-02,7.3,5.3,11.9,11.9,63
2019-05-03,9.2,5.3,0.1,0.1,51
2019-05-04,12.4,4.6,0.4,0.4,51
2019-05-05,21.5,5.0,0.0,0.0,3
2019-05-06,19.0,7.8,0.2,0.2,51
2019-05-07,8.4,6.4,13.5,13.5,63
2019-05-08,17.2,5.8,1.7,1.7,53
2019-05-09,20.1,15.1,18.8,18.8,63
2019-05-10,11.9,7.7,0.0,0.0,3
2019-05-11,9.6,5.4,3.7,3.7,53
2019-05-12,8.9,5.4,0.2,0.2,51
2019-05-13,11.6,5.7,4.6,4.6,61
2019-05-14,16.9,3.4,0.0,0.0,2
2019-05-15,18.4,7.4,0.0,0.0,3
2019-05-16,27.1,12.2,0.0,0.0,3
2019-05-17,21.2,7.7,29.0,29.0,65
2019-05-18,27.9,5.9,1.2,1.2,53
2019-05-19,23.6,18.2,9.3,9.3,63
2019-05-20,19.1,9.0,0.1,0.1,51
2019-05-21,11.4,7.6,8.9,8.9,61
2019-05-22,26.8,10.3,20.0,20.0,65
2019-05-23,23.6,18.0,4.2,4.2,63
2019-05-24,25.4,11.1,3.1,3.1,61
2019-05-25,27.1,20.4,15.4,15.4,65
2019-05-26,25.2,14.0,9.0,9.0,63
2019-05-27,22.3,10.3,9.4,9.4,63
2019-05-28,20.6,10.1,3.8,3.8,63
2019-05-29,18.1,7.9,24.9,24.9,63
2019-05-30,21.4,13.8,12.9,12.9,63
2019-05-31,27.4,14.2,0.0,0.0,2
2019-06-01,26.1,18.0,5.1,5.1,63
2019-06-02,15.9,10.1,0.2,0.2,51
2019-06-03,15.1,8.6,0.0,0.0,3
2019-06-04,26.1,11.6,7.8,7.8,63
2019-06-05,27.4,19.2,8.3,8.3,63
2019-06-06,15.9,11.8,0.0,0.0,3
2019-06-07,17.7,10.2,0.0,0.0,3
2019-06-08,19.9,13.2,0.0,0.0,3
2019-06-09,20.4,14.4,4.1,4.1,61
2019-06-10,20.6,15.4,1.0,1.0,51
2019-06-11,25.1,12.7,0.0,0.0,3
2019-06-12,22.6,17.0,3.4,3.4,61
2019-06-13,17.0,10.8,23.7,23.7,63
2019-06-14,24.0,10.4,0.0,0.0,3
2019-06-15,22.1,16.4,10.9,10.9,61
2019-06-16,18.8,13.4,31.8,31.8,65
2019-06-17,16.0,10.9,0.2,0.2,51
2019-06-18,21.4,12.6,0.1,0.1,51
2019-06-19,21.1,11.9,0.0,0.0,3
2019-06-20,15.8,11.1,25.3,25.3,63
2019-06-21,18.8,10.9,0.0,0.0,3
2019-06-22,23.6,13.6,0.7,0.7,53
2019-06-23,24.5,17.4,6.6,6.6,61
2019-06-24,23.8,19.2,12.8,12.8,63
2019-06-25,28.4,16.2,0.8,0.8,53
2019-06-26,26.9,19.4,0.0,0.0,3
2019-06-27,29.8,20.0,0.0,0.0,3
2019-06-28,30.7,18.9,4.5,4.5,63
2019-06-29,25.2,20.3,0.2,0.2,51
2019-06-30,27.1,20.9,1.8,1.8,55
2019-07-01,29.1,20.5,3.0,3.0,61
2019-07-02,30.5,23.2,7.7,7.7,63
2019-07-03,28.9,19.4,7.7,7.7,63
2019-07-04,30.2,17.9,0.1,0.1,51
2019-07-05,30.4,23.0,3.5,3.5,55
2019-07-06,27.0,17.8,13.5,13.5,63
2019-07-07,20.4,16.1,0.2,0.2,51
2019-07-08,22.5,16.1,0.0,0.0,3
2019-07-09,27.8,17.4,0.0,0.0,3
2019-07-10,33.8,22.0,3.3,3.3,61
2019-07-11,31.0,20.6,0.0,0.0,2
2019-07-12,29.4,16.3,0.0,0.0,0
2019-07-13,34.0,21.5,0.0,0.0,2
2019-07-14,30.1,21.5,1.0,1.0,53
2019-07-15,32.9,23.1,2.1,2.1,61
2019-07-16,29.0,22.0,5.2,5.2,61
2019-07-17,29.5,22.5,4.8,4.8,63
2019-07-18,31.8,23.5,8.8,8.8,63
2019-07-19,32.7,23.4,6.7,6.7,63
2019-07-20,33.6,24.5,0.6,0.6,51
2019-07-21,26.5,21.1,8.2,8.2,63
2019-07-22,22.1,18.5,0.0,0.0,3
2019-07-23,24.2,15.6,0.5,0.5,51
2019-07-24,24.1,16.8,0.0,0.0,3
2019-07-25,27.4,15.7,0.0,0.0,1
2019-07-26,28.3,18.4,0.0,0.0,3
2019-07-27,30.8,21.0,0.7,0.7,53
2019-07-28,31.6,21.4,1.6,1.6,53
2019-07-29,28.9,22.4,11.7,11.7,63
2019-07-30,24.1,20.2,0.3,0.3,51
2019-07-31,21.3,17.5,0.0,0.0,3
2019-08-01,24.2,15.4,0.0,0.0,2
2019-08-02,26.4,18.1,0.0,0.0,2
2019-08-03,29.1,18.5,0.0,0.0,3
2019-08-04,28.3,20.8,1.1,1.1,53
2019-08-05,31.8,20.6,1.3,1.3,53
2019-08-06,30.0,21.5,3.8,3.8,61
2019-08-07,30.5,19.2,0.0,0.0,3
2019-08-08,30.4,22.1,0.0,0.0,2
2019-08-09,26.0,17.0,0.0,0.0,3
2019-08-10,27.5,17.6,0.0,0.0,3
2019-08-11,29.7,20.1,0.1,0.1,51
2019-08-12,25.6,21.9,4.4,4.4,61
2019-08-13,24.9,20.9,27.3,27.3,65
2019-08-14,25.6,19.5,7.3,7.3,63
2019-08-15,22.5,19.2,1.7,1.7,53
2019-08-16,27.0,18.0,1.1,1.1,53
2019-08-17,25.4,19.2,2.3,2.3,53
2019-08-18,28.0,19.5,4.8,4.8,63
2019-08-19,26.9,18.6,0.6,0.6,51
2019-08-20,26.7,22.2,5.1,5.1,61
2019-08-21,27.8,18.4,1.0,1.0,51
2019-08-22,24.5,19.6,0.8,0.8,51
